, 0.03125,0.125,0.5,2,8,32,128,512,2048,8192,32768,
3e-05,10.3687%,10.3687%,10.3687%,10.4147%,17.4194%,20.7834%,26.8779%,34.8387%,40.3802%,40.5876%,38.4908%,
0.0001,10.3687%,10.3687%,10.3687%,18.6866%,19.8502%,25.818%,34.0207%,40.0576%,40.5876%,38.7212%,35.7258%,
0.0005,10.3687%,10.4263%,17.3502%,20.9332%,27.0737%,35.1267%,40.4954%,40.6221%,38.2949%,35.3917%,34.4931%,
0.002,10.4263%,17.3502%,20.9332%,27.0737%,35.1267%,40.4954%,40.6221%,38.2949%,35.3917%,34.4931%,32.9032%,
0.008,17.3502%,20.9332%,27.0737%,35.1267%,40.4954%,40.6221%,38.2949%,35.3917%,34.4931%,32.9032%,31.7396%,
0.03125,20.8295%,26.97%,34.977%,40.4378%,40.6336%,38.3756%,35.3226%,34.47%,32.9493%,31.7742%,31.371%,
0.125,26.97%,34.977%,40.4378%,40.6336%,38.3756%,35.3226%,34.47%,32.9493%,31.7742%,31.371%,31.7627%,
0.5,34.977%,40.4378%,40.6336%,38.3756%,35.3226%,34.47%,32.9493%,31.7742%,31.371%,31.7627%,31.6475%,
2,40.4378%,40.6336%,38.3756%,35.3226%,34.47%,32.9493%,31.7742%,31.371%,31.7627%,31.6475%,31.6244%,
8,40.6336%,38.3756%,35.3226%,34.47%,32.9493%,31.7742%,31.371%,31.7627%,31.6475%,31.6244%,31.659%,
32,38.3756%,35.3226%,34.47%,32.9493%,31.7742%,31.371%,31.7627%,31.6475%,31.6244%,31.659%,31.4401%,
128,35.3226%,34.47%,32.9493%,31.7742%,31.371%,31.7627%,31.6475%,31.6244%,31.659%,31.4401%,30.4493%,
