,0.03125,0.125,0.5,2,8,32,128,512,2048,8192,32768
3.00E-05,10.37%,10.37%,10.37%,10.41%,18.41%,21.72%,29.59%,38.85%,43.55%,43.70%,41.58%
0.0001,10.37%,10.37%,10.37%,18.55%,20.97%,28.35%,37.35%,43.05%,43.89%,41.90%,39.18%
0.0005,10.37%,10.45%,18.34%,21.96%,29.76%,39.06%,43.68%,43.62%,41.58%,38.86%,37.44%
0.002,10.45%,18.34%,21.96%,29.76%,39.06%,43.68%,43.62%,41.58%,38.86%,37.44%,36.08%
0.008,18.34%,21.96%,29.76%,39.06%,43.68%,43.62%,41.58%,38.86%,37.44%,36.08%,35%
0.03125,21.76%,29.67%,38.92%,43.59%,43.71%,41.57%,38.86%,37.48%,36.16%,35.02%,34.21%
0.125,29.67%,38.92%,43.59%,43.71%,41.57%,38.86%,37.48%,36.16%,35.02%,34.21%,34.38%
0.5,38.92%,43.59%,43.71%,41.57%,38.86%,37.48%,36.16%,35.02%,34.21%,34.38%,34.42%
2,43.59%,43.71%,41.57%,38.86%,37.48%,36.16%,35.02%,34.21%,34.38%,34.42%,34.42%
8,43.71%,41.57%,38.86%,37.48%,36.16%,35.02%,34.21%,34.38%,34.42%,34.42%,34.42%
32,41.57%,38.86%,37.48%,36.16%,35.02%,34.21%,34.38%,34.42%,34.42%,34.42%,34.26%
128,38.86%,37.48%,36.16%,35.02%,34.21%,34.38%,34.42%,34.42%,34.42%,34.26%,33.44%
