,0.03125,0.125,0.5,2,8,32,128,512,2048,8192,32768
3.00E-05,41.39%,41.71%,42.77%,45.17%,46.54%,46.66%,46.70%,46.70%,46.62%,46.46%,46.66%
0.0001,41.59%,41.82%,45.24%,46.38%,46.62%,46.89%,46.70%,46.54%,46.46%,46.78%,46.82%
0.0005,43.32%,45.20%,46.74%,46.74%,46.58%,46.70%,46.58%,46.50%,46.78%,46.54%,40.80%
0.002,45.20%,46.74%,46.74%,46.58%,46.70%,46.58%,46.50%,46.78%,46.54%,40.80%,43.91%
0.008,46.74%,46.74%,46.58%,46.70%,46.58%,46.50%,46.78%,46.54%,40.80%,43.91%,42.85%
0.03125,46.66%,46.66%,46.70%,46.50%,46.54%,46.66%,46.19%,43.24%,39.82%,37.07%,43.32%
0.125,46.66%,46.70%,46.50%,46.54%,46.66%,46.19%,43.24%,39.82%,37.07%,43.32%,43.67%
0.5,46.70%,46.50%,46.54%,46.66%,46.19%,43.24%,39.82%,37.07%,43.32%,43.67%,42.85%
2,46.50%,46.54%,46.66%,46.19%,43.24%,39.82%,37.07%,43.32%,43.67%,42.85%,41.12%
8,46.54%,46.66%,46.19%,43.24%,39.82%,37.07%,43.32%,43.67%,42.85%,41.12%,42.18%
32,46.66%,46.19%,43.24%,39.82%,37.07%,43.32%,43.67%,42.85%,41.12%,42.18%,41.39%
128,46.19%,43.24%,39.82%,37.07%,43.32%,43.67%,42.85%,41.12%,42.18%,41.39%,43.32%
46.89%,,,,,,,,,,,
