, 0.03125,0.125,0.5,2,8,32,128,512,2048,8192,32768,
3e-05,29.3208%,29.5082%,29.4614%,29.9532%,30.8197%,31.897%,32.1311%,32.0141%,31.9204%,31.9906%,31.897%,
0.0001,29.4614%,29.2974%,29.9766%,30.7494%,31.8501%,32.2717%,32.0375%,31.9672%,31.9204%,31.9672%,31.897%,
0.0005,29.4145%,29.9532%,30.7963%,31.9204%,32.1077%,31.9672%,31.9204%,31.9672%,31.9438%,32.3185%,25.9016%,
0.002,29.9532%,30.7963%,31.9204%,32.1077%,31.9672%,31.9204%,31.9672%,31.9438%,32.3185%,25.9016%,29.9063%,
0.008,30.7963%,31.9204%,32.1077%,31.9672%,31.9204%,31.9672%,31.9438%,32.3185%,25.9016%,29.9063%,27.5878%,
0.03125,31.9204%,32.1311%,31.9672%,31.9204%,31.9438%,31.9438%,31.8267%,30.0468%,28.0562%,27.5878%,26.8852%,
0.125,32.1311%,31.9672%,31.9204%,31.9438%,31.9438%,31.8267%,30.0468%,28.0562%,27.5878%,26.8852%,26.2529%,
0.5,31.9672%,31.9204%,31.9438%,31.9438%,31.8267%,30.0468%,28.0562%,27.5878%,26.8852%,26.2529%,28.3138%,
2,31.9204%,31.9438%,31.9438%,31.8267%,30.0468%,28.0562%,27.5878%,26.8852%,26.2529%,28.3138%,27.9859%,
8,31.9438%,31.9438%,31.8267%,30.0468%,28.0562%,27.5878%,26.8852%,26.2529%,28.3138%,27.9859%,27.1897%,
32,31.9438%,31.8267%,30.0468%,28.0562%,27.5878%,26.8852%,26.2529%,28.3138%,27.9859%,27.1897%,27.5176%,
128,31.8267%,30.0468%,28.0562%,27.5878%,26.8852%,26.2529%,28.3138%,27.9859%,27.1897%,27.5176%,29.4145%,
