, 0.03125,0.125,0.5,2,8,32,128,512,2048,8192,
3e-05,20.7952%,21.0281%,21.5106%,23.091%,24.6548%,25.5698%,26.385%,26.3351%,26.4016%,26.751%,
0.0001,20.9616%,21.0947%,23.0411%,24.3054%,25.3535%,26.4182%,26.3018%,26.4515%,26.6844%,26.6345%,
0.0005,21.6104%,23.1575%,24.6548%,25.5532%,26.385%,26.3184%,26.4349%,26.701%,26.6511%,26.8175%,
0.002,23.1575%,24.6548%,25.5532%,26.385%,26.3184%,26.4349%,26.701%,26.6511%,26.8175%,22.7915%,
0.008,24.6548%,25.5532%,26.385%,26.3184%,26.4349%,26.701%,26.6511%,26.8175%,22.7915%,24.8045%,
0.03125,25.5698%,26.385%,26.3351%,26.4016%,26.6844%,26.6012%,26.3517%,25.1372%,24.6382%,23.3905%,
0.125,26.385%,26.3351%,26.4016%,26.6844%,26.6012%,26.3517%,25.1372%,24.6382%,23.3905%,20.8451%,
0.5,26.3351%,26.4016%,26.6844%,26.6012%,26.3517%,25.1372%,24.6382%,23.3905%,20.8451%,20.7786%,
2,26.4016%,26.6844%,26.6012%,26.3517%,25.1372%,24.6382%,23.3905%,20.8451%,20.7786%,22.5753%,
8,26.6844%,26.6012%,26.3517%,25.1372%,24.6382%,23.3905%,20.8451%,20.7786%,22.5753%,21.9098%,
32,26.6012%,26.3517%,25.1372%,24.6382%,23.3905%,20.8451%,20.7786%,22.5753%,21.9098%,24.0725%,
128,26.3517%,25.1372%,24.6382%,23.3905%,20.8451%,20.7786%,22.5753%,21.9098%,24.0725%,21.3276%,
